lime_tha,emmean,SE,df,lower.CL,upper.CL,admin2_gadm,crop
0.5,0.17294592085119811,0.023806992868597696,59.50143925311194,0.12531663658913222,0.220575205113264,Jimma,Soybean
1,0.28703685457385975,0.02231601532596336,47.03704305004308,0.2421437557044317,0.3319299534432878,Jimma,Soybean
1.5,0.38810192304667385,0.02365808218193422,58.20523008724092,0.3407486812378628,0.4354551648554849,Jimma,Soybean
2,0.4761411262696396,0.0262355451249446,81.50468779155413,0.423945520477641,0.5283367320616382,Jimma,Soybean
2.5,0.5511544642427569,0.02886579993586744,104.78827504385508,0.4939175672522281,0.6083913612332859,Jimma,Soybean
3,0.6131419369660261,0.03093432533984576,120.58575727250745,0.5518971557050563,0.674386718226996,Jimma,Soybean
3.5,0.6621035444394477,0.03216888122400491,128.50219150745,0.5984542905445489,0.7257527983343466,Jimma,Soybean
4,0.6980392866630208,0.03248675923502044,130.34345241417734,0.6337697096965061,0.7623088636295355,Jimma,Soybean
4.5,0.7209491636367463,0.0319379879854585,127.11382272042641,0.6577501934249872,0.7841481338485055,Jimma,Soybean
5,0.7308331753606229,0.030711908173806268,119.03281895299033,0.6700207019974942,0.7916456487237515,Jimma,Soybean
5.5,0.7276913218346518,0.029195871231062924,107.49838839055779,0.6698169806767643,0.7855656629925393,Jimma,Soybean
6,0.7115236030588327,0.028071720730442163,98.0278677469921,0.655816384811611,0.7672308213060544,Jimma,Soybean
6.5,0.682330019033165,0.02834688226228224,100.40581333678597,0.6260933953350656,0.7385666427312645,Jimma,Soybean
7,0.6401105697576494,0.031071387961673008,121.52385593435076,0.5785992399035277,0.701621899611771,Jimma,Soybean
0,0.02918376619555746,0.06418213967469975,65.24648658818431,-0.09898763866907381,0.15735517106018873,MisraqGojjam,Wheat
0.5,0.11265539943159714,0.05609496530391222,40.95813600081398,-6.341978434693529e-4,0.22594499670666363,MisraqGojjam,Wheat
1,0.18709713804673306,0.05388987894468402,35.148089722505894,0.0777113426330239,0.2964829334604422,MisraqGojjam,Wheat
1.5,0.252508982040965,0.05587233794205358,40.35103993540862,0.13961736845481276,0.36540059562711724,MisraqGojjam,Wheat
2,0.3088909314142932,0.059793389345060136,51.62077924261039,0.18888573355307414,0.42889612927551224,MisraqGojjam,Wheat
2.5,0.3562429861667174,0.06392477996410333,64.43260481720745,0.2285550686062132,0.4839309037272216,MisraqGojjam,Wheat
3,0.39456514629823763,0.06725046255441035,74.94805151551788,0.2605938329487648,0.5285364596477105,MisraqGojjam,Wheat
3.5,0.4238574118088541,0.06926305685676534,81.20586777135603,0.2860509508882611,0.5616638727294472,MisraqGojjam,Wheat
4,0.44411978269856683,0.0697843400967868,82.79947680371782,0.30531656563319504,0.5829229997639387,MisraqGojjam,Wheat
4.5,0.4553522589673756,0.06888518884480828,80.04271349673093,0.318267487394147,0.5924370305406041,MisraqGojjam,Wheat
5,0.45755484061528057,0.06688997951458925,73.81399655713982,0.32426806632082483,0.5908416149097363,MisraqGojjam,Wheat
5.5,0.4507275276422816,0.06445126136061512,66.09830482177458,0.32205000453942023,0.5794050507451429,MisraqGojjam,Wheat
6,0.4348703200483786,0.0626651794341362,60.46572149422819,0.30954115270390314,0.5601994873928541,MisraqGojjam,Wheat
6.5,0.40998321783357167,0.06310050843116395,61.832871333059835,0.28384031654143776,0.5361261191257056,MisraqGojjam,Wheat
7,0.3760662209978612,0.0674729356174752,75.64636276875129,0.24167206286228668,0.5104603791334357,MisraqGojjam,Wheat
0,0.05036931893967256,0.09816176473931508,34.40500790301364,-0.14903292569076546,0.24977156357011057,MisraqGojjam,Fababean
