lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,profit_yr1,profit_yr1_lo,profit_yr1_hi,npv,npv_lo,npv_hi,total_benefit,total_cost,bcr,bcr_lo,bcr_hi,roi
2.5,1.4774,1.3326,1.6221,Maize,243.45957446808512,111.38584474885845,81.22256344700287,45.969617064024135,116.45116387253478,527.1218977709141,448.1663497836965,606.0229184459856,805.5865096430601,278.4646118721461,2.892958298101218,2.609419404392638,3.1763013776566846,189.29582981012186
3,1.6577,1.4998,1.8157,Maize,243.45957446808512,111.38584474885845,69.42540234916936,30.983135540658736,107.89201511512688,569.7417191954854,483.6430933171592,655.8948723859577,903.8992534420607,334.1575342465753,2.7050093468042897,2.4473505569988983,2.9628313150706096,170.50093468042897
3.5,1.7998,1.6336,1.966,Maize,243.45957446808512,111.38584474885845,48.32808550665504,7.8651042300592735,88.79106678325076,591.5321073803352,500.9077145939019,682.1565001667685,981.3825640013398,389.8504566210046,2.5173308055283274,2.284871432331968,2.749790178724687,151.73308055283275
4,1.9034,1.7337,2.0731,Maize,243.45957446808512,111.38584474885845,17.85757504711944,-23.45751474011462,59.1726648343535,592.3294803890255,499.7966316774869,684.8623291005645,1037.8728593844594,445.5433789954338,2.3294541189783815,2.1217687328322055,2.537139505124558,132.94541189783814
4.5,1.9687,1.7998,2.1376,Maize,243.45957446808512,111.38584474885845,-21.937437114543854,-63.05775924220336,19.182885013115765,572.2428928458485,480.1462626314768,664.3395230602202,1073.4791942157115,501.236301369863,2.1416629068603505,1.9579239598553662,2.325401853865335,114.16629068603505
5,1.9956,1.8314,2.1598,Maize,243.45957446808512,111.38584474885845,-71.08129693578155,-111.0573590634412,-31.105234808121963,531.217817438658,441.6839708951419,620.7516639821739,1088.1470411829503,556.9292237442922,1.953833619768103,1.7930702000617875,2.1145970394744182,95.3833619768103
5.5,1.9842,1.8275,2.1408,Maize,243.45957446808512,111.38584474885845,-129.549658459147,-167.699773778296,-91.423889097444885,469.3087814795997,383.8644833470238,554.6985523000296,1081.9309275983212,612.6221461187215,1.7660656482187493,1.6265925673418828,1.9054497226623819,76.60656482187493
6,1.9344,1.7866,2.0821,Maize,243.45957446808512,111.38584474885845,-197.3668676420868,-233.3501927484698,-161.4078884931506,386.461257656528,305.8698903049344,466.9980976959758,1054.7763261496787,668.3150684931506,1.5782620740961024,1.4576731914702732,1.6987693674914677,57.82620740961024
6.5,1.8462,1.7062,1.9862,Maize,243.45957446808512,111.38584474885845,-274.53292448460115,-308.6172649101331,-240.4485840590692,282.6752459694428,206.33700896522703,359.0134829736586,1006.6832368370227,724.0079908675799,1.3904311133786142,1.2849927232404894,1.495869503516739,39.043111337861426
7,1.7197,1.5825,1.8568,Maize,243.45957446808512,111.38584474885845,-361.0234830292431,-394.42613664626447,-327.6451753696687,158.0052737304901,83.19380146635854,232.7622186824756,937.7061869724993,779.7009132420092,1.2026485682484347,1.106699633222741,1.298527569648016,20.264856824843463
0.5,0.1271,0.1066,0.1476,Soybean,570.9599999999999,111.38584474885845,16.876093625570768,5.1714136255707714,28.580773625570764,106.8389228485746,80.62410910292886,133.0537365942204,162.53184522300384,55.69292237442922,2.9183572758183813,2.4476544893960623,3.3890600622407008,191.83572758183814
1,0.2412,0.203,0.2794,Soybean,570.9599999999999,111.38584474885845,26.329707251141528,4.5190352511415455,48.14037925114151,197.0538174682031,148.20474990314614,245.90288503326008,308.4396622170616,111.38584474885845,2.769110050855207,2.330552820578802,3.207667281131611,176.91100508552066
