crop,lime_tha,r_p,prob_profit,r_p_obs
Soybean,7,1.75,0,5.1259655236025985
Soybean,7,2,0,5.1259655236025985
Soybean,7,2.25,0,5.1259655236025985
Soybean,7,2.5,0,5.1259655236025985
Soybean,7,2.75,2.4390243902439026e-5,5.1259655236025985
Soybean,7,3,2.4390243902439024e-4,5.1259655236025985
Soybean,7,3.25,0.0011951219512195122,5.1259655236025985
Soybean,7,3.5,0.0019024390243902439,5.1259655236025985
Soybean,7,3.75,0.0038048780487804877,5.1259655236025985
Soybean,7,4,0.006341463414634147,5.1259655236025985
Soybean,7,4.25,0.010829268292682926,5.1259655236025985
Soybean,7,4.5,0.013829268292682927,5.1259655236025985
Soybean,7,4.75,0.01948780487804878,5.1259655236025985
Soybean,7,5,0.025170731707317075,5.1259655236025985
Soybean,7,5.25,0.029926829268292682,5.1259655236025985
Soybean,7,5.5,0.035268292682926826,5.1259655236025985
Soybean,7,5.75,0.041170731707317075,5.1259655236025985
Soybean,7,6,0.048414634146341465,5.1259655236025985
Soybean,7,6.25,0.06019512195121951,5.1259655236025985
Soybean,7,6.5,0.06990243902439025,5.1259655236025985
Soybean,7,6.75,0.08553658536585367,5.1259655236025985
Soybean,7,7,0.09975609756097562,5.1259655236025985
Soybean,7,7.25,0.11736585365853658,5.1259655236025985
Soybean,7,7.5,0.13546341463414635,5.1259655236025985
Soybean,7,7.75,0.15973170731707317,5.1259655236025985
Soybean,7,8,0.17278048780487804,5.1259655236025985
Soybean,7,8.25,0.20095121951219513,5.1259655236025985
Soybean,7,8.5,0.23556097560975608,5.1259655236025985
Soybean,7,8.75,0.25034146341463415,5.1259655236025985
Soybean,7,9,0.27907317073170734,5.1259655236025985
Soybean,7,9.25,0.3031219512195122,5.1259655236025985
Soybean,7,9.5,0.3378780487804878,5.1259655236025985
Soybean,7,9.75,0.3608780487804878,5.1259655236025985
Soybean,7,10,0.3934146341463415,5.1259655236025985
Wheat,1,0.5,0,4.017027486830509
Wheat,1,0.75,8.108108108108108e-5,4.017027486830509
Wheat,1,1,0.005243243243243243,4.017027486830509
Wheat,1,1.25,0.04478378378378378,4.017027486830509
Wheat,1,1.5,0.10127027027027027,4.017027486830509
Wheat,1,1.75,0.16032432432432434,4.017027486830509
Wheat,1,2,0.21575675675675676,4.017027486830509
Wheat,1,2.25,0.2603783783783784,4.017027486830509
Wheat,1,2.5,0.3072162162162162,4.017027486830509
Wheat,1,2.75,0.34102702702702703,4.017027486830509
Wheat,1,3,0.37232432432432433,4.017027486830509
Wheat,1,3.25,0.3992972972972973,4.017027486830509
Wheat,1,3.5,0.428972972972973,4.017027486830509
Wheat,1,3.75,0.45613513513513515,4.017027486830509
Wheat,1,4,0.4781891891891892,4.017027486830509
Wheat,1,4.25,0.5025405405405405,4.017027486830509
Wheat,1,4.5,0.5148648648648648,4.017027486830509
Wheat,1,4.75,0.5337027027027027,4.017027486830509
Wheat,1,5,0.5465945945945946,4.017027486830509
Wheat,1,5.25,0.5670540540540541,4.017027486830509
Wheat,1,5.5,0.5824864864864865,4.017027486830509
Wheat,1,5.75,0.5912162162162162,4.017027486830509
Wheat,1,6,0.6085675675675676,4.017027486830509
Wheat,1,6.25,0.6232162162162163,4.017027486830509
Wheat,1,6.5,0.6289189189189189,4.017027486830509
Wheat,1,6.75,0.6391351351351351,4.017027486830509
Wheat,1,7,0.6546486486486487,4.017027486830509
Wheat,1,7.25,0.661918918918919,4.017027486830509
Wheat,1,7.5,0.6684324324324324,4.017027486830509
Wheat,1,7.75,0.6786216216216217,4.017027486830509
Wheat,1,8,0.6808648648648649,4.017027486830509
Wheat,1,8.25,0.6873513513513514,4.017027486830509
Wheat,1,8.5,0.6914594594594594,4.017027486830509
Wheat,1,8.75,0.6951081081081081,4.017027486830509
Wheat,1,9,0.6981081081081081,4.017027486830509
Wheat,1,9.25,0.7012162162162162,4.017027486830509
Wheat,1,9.5,0.7032702702702702,4.017027486830509
Wheat,1,9.75,0.706972972972973,4.017027486830509
Wheat,1,10,0.707972972972973,4.017027486830509
Wheat,2.5,0.5,0,4.017027486830509
Wheat,2.5,0.75,0,4.017027486830509
Wheat,2.5,1,0,4.017027486830509
Wheat,2.5,1.25,5.4054054054054054e-5,4.017027486830509
Wheat,2.5,1.5,0.0012162162162162162,4.017027486830509
Wheat,2.5,1.75,0.00772972972972973,4.017027486830509
Wheat,2.5,2,0.02618918918918919,4.017027486830509
Wheat,2.5,2.25,0.04986486486486486,4.017027486830509
Wheat,2.5,2.5,0.07597297297297298,4.017027486830509
Wheat,2.5,2.75,0.10210810810810811,4.017027486830509
Wheat,2.5,3,0.13045945945945947,4.017027486830509
Wheat,2.5,3.25,0.15527027027027027,4.017027486830509
Wheat,2.5,3.5,0.17916216216216216,4.017027486830509
Wheat,2.5,3.75,0.20302702702702702,4.017027486830509
Wheat,2.5,4,0.22764864864864864,4.017027486830509
Wheat,2.5,4.25,0.2518108108108108,4.017027486830509
Wheat,2.5,4.5,0.2762702702702703,4.017027486830509
Wheat,2.5,4.75,0.30008108108108106,4.017027486830509
Wheat,2.5,5,0.3215945945945946,4.017027486830509
Wheat,2.5,5.25,0.3402702702702703,4.017027486830509
Wheat,2.5,5.5,0.3567297297297297,4.017027486830509
Wheat,2.5,5.75,0.382,4.017027486830509
Wheat,2.5,6,0.40394594594594596,4.017027486830509
Wheat,2.5,6.25,0.4214054054054054,4.017027486830509
Wheat,2.5,6.5,0.4413783783783784,4.017027486830509
