crop,tau,tau_lab,lime_tha,yield_resp,profit_yr1,npv
Beans,0.5,Q50,6.800000000000001,0.504423280422996,-529.7595752642774,-247.52737910966152
Beans,0.5,Q50,6.9,0.5023492063489865,-541.8342631445529,-260.76254174122954
Beans,0.5,Q50,7,0.49999999999984684,-554.033128007179,-274.2758218833845
Beans,0.8,Q80,0.1,0.040549686200957884,7.162931278994801,29.851073230492112
Beans,0.8,Q80,0.2,0.08034652387279083,13.986075237619652,58.941129387759645
Beans,0.8,Q80,0.30000000000000004,0.11939051301549887,20.469431875874555,87.27016847180259
Beans,0.8,Q80,0.4,0.15768165362908196,26.613001193759516,114.83819048262097
Beans,0.8,Q80,0.5,0.1952199457135401,32.41678319127451,141.64519542021472
Beans,0.8,Q80,0.6000000000000001,0.23200538926887337,37.88077786841957,167.69118328458396
Beans,0.8,Q80,0.7000000000000001,0.2680379842950817,43.00498522519469,192.9761540757286
Beans,0.8,Q80,0.8,0.30331773079216506,47.78940526159985,217.50010779364868
Beans,0.8,Q80,0.9,0.3378446287601235,52.234037977635055,241.26304443834414
Beans,0.8,Q80,1,0.371618678198957,56.338883373300305,264.26496400981495
Beans,0.8,Q80,1.1,0.4046398791086656,60.103941448595634,286.50586650806133
Beans,0.8,Q80,1.2000000000000002,0.4369082314892493,63.529212203520984,307.985751933083
Beans,0.8,Q80,1.3,0.468423735340708,66.61469563807643,328.7046202848802
Beans,0.8,Q80,1.4000000000000001,0.4991863906630419,69.3603917522619,348.6624715634528
Beans,0.8,Q80,1.5,0.5291961974562506,71.76630054607736,367.8593057688006
Beans,0.8,Q80,1.6,0.5584531557203346,73.83242201952297,386.2951229009242
Beans,0.8,Q80,1.7000000000000002,0.5869572654552937,75.5587561725986,403.96992295982295
Beans,0.8,Q80,1.8,0.6147085266611277,76.94530300530428,420.88370594549724
Beans,0.8,Q80,1.9000000000000001,0.6417069393378368,77.99206251763994,437.0364718579468
Beans,0.8,Q80,2,0.6679525034854211,78.6990347096058,452.42822069717204
Beans,0.8,Q80,2.1,0.6934452191038805,79.06621958120161,467.0589524631725
Beans,0.8,Q80,2.2,0.7181850861932149,79.09361713242748,480.9286671559485
Beans,0.8,Q80,2.3000000000000003,0.7421721047534242,78.78122736328339,494.0373647754998
Beans,0.8,Q80,2.4000000000000004,0.7654062747845088,78.1290502737694,506.3850453218266
Beans,0.8,Q80,2.5,0.7878875962864683,77.13708586388543,517.9717087949286
Beans,0.8,Q80,2.6,0.8096160692593029,75.80533413363145,528.7973551948062
Beans,0.8,Q80,2.7,0.8305916937030128,74.13379508300767,538.8619845214595
Beans,0.8,Q80,2.8000000000000003,0.8508144696175975,72.12246871201381,548.1655967748878
Beans,0.8,Q80,2.9000000000000004,0.8702843970030574,69.77135502065005,556.7081919550917
Beans,0.8,Q80,3,0.8890014758593923,67.08045400891638,564.489770062071
Beans,0.8,Q80,3.1,0.9069657061866022,64.04976567681268,571.5103310958257
Beans,0.8,Q80,3.2,0.9241770879846875,60.67929002433908,577.7698750563558
Beans,0.8,Q80,3.3000000000000003,0.9406356212536475,56.969027051495516,583.2684019436613
Beans,0.8,Q80,3.4000000000000004,0.9563413059934828,52.918976758281985,588.0059117577423
Beans,0.8,Q80,3.5,0.9712941422041931,48.529139144698604,591.9824044985987
Beans,0.8,Q80,3.6,0.9854941298857783,43.799514210745144,595.1978801662303
Beans,0.8,Q80,3.7,0.9989412690382388,38.73010195642178,597.6523387606376
Beans,0.8,Q80,3.8000000000000003,1.0116355596615743,33.320902381728445,599.3457802818202
Beans,0.8,Q80,3.9000000000000004,1.0235770017557848,27.571915486665205,600.2782047297783
Beans,0.8,Q80,4,1.0347655953208705,21.483141271232057,600.4496121045117
Beans,0.8,Q80,4.1000000000000005,1.0452013403568312,15.054579735428831,599.8600024060206
Beans,0.8,Q80,4.2,1.0548842368636668,8.286230879255754,598.509375634305
Beans,0.8,Q80,4.3,1.0638142848413779,1.1780947027128263,596.397731789365
Beans,0.8,Q80,4.4,1.0719914842899638,-6.269828794200237,593.5250708712
Beans,0.8,Q80,4.5,1.0794158352094247,-14.05753961148315,589.8913928798106
Beans,0.8,Q80,4.6000000000000005,1.086087337599761,-22.185037749135972,585.4966978151967
Beans,0.8,Q80,4.7,1.0920059914609719,-30.652323207158986,580.3409856773578
Beans,0.8,Q80,4.800000000000001,1.097171796793058,-39.459395985551794,574.4242564662948
Beans,0.8,Q80,4.9,1.1015847535960195,-48.606256084314396,567.7465101820072
Beans,0.8,Q80,5,1.1052448618698558,-58.09290350344713,560.3077468244948
Beans,0.8,Q80,5.1000000000000005,1.108152121614567,-67.91933824294983,552.1079663937577
Beans,0.8,Q80,5.2,1.110306532830154,-78.08556030282227,543.1471688897965
Beans,0.8,Q80,5.300000000000001,1.1117080955166156,-88.59156968306479,533.4253543126107
Beans,0.8,Q80,5.4,1.112356809673952,-99.43736638367733,522.9425226621997
Beans,0.8,Q80,5.5,1.1122526753021635,-110.62295040465983,511.6986739385643
Beans,0.8,Q80,5.6000000000000005,1.1113956924012502,-122.1483217460123,499.6938081417045
Beans,0.8,Q80,5.7,1.1097858609712121,-134.0134804077345,486.9279252716202
Beans,0.8,Q80,5.800000000000001,1.1074231810120494,-146.21842638982667,473.40102532831145
Beans,0.8,Q80,5.9,1.1043076525237614,-158.76315969228892,459.11310831177786
Beans,0.8,Q80,6,1.1004392755063483,-171.64768031512102,444.0641742220198
Beans,0.8,Q80,6.1000000000000005,1.0958180499598102,-184.87198825832343,428.2542230590367
Beans,0.8,Q80,6.2,1.0904439758841473,-198.43608352189545,411.68325482282944
Beans,0.8,Q80,6.300000000000001,1.0843170532793596,-212.3399661058375,394.3512695133975
Beans,0.8,Q80,6.4,1.0774372821454472,-226.5836360101494,376.2582671307414
Beans,0.8,Q80,6.5,1.0698046624824098,-241.16709323483116,357.4042476748606
Beans,0.8,Q80,6.6000000000000005,1.0614191942902471,-256.0903377798831,337.78921114575485
Beans,0.8,Q80,6.7,1.0522808775689596,-271.35336964530495,317.4131575434245
Beans,0.8,Q80,6.800000000000001,1.0423897123185473,-286.95618883109677,296.2760868678696
Beans,0.8,Q80,6.9,1.03174569853901,-302.8987953372583,274.37799911909065
Beans,0.8,Q80,7,1.0203488362303479,-319.18118916379,251.71889429708676
Soybean,0.2,Q20,0.1,0.018535843634254045,-0.5553591934721585,12.564522280742633
Soybean,0.2,Q20,0.2,0.03672055744113812,-1.3111994731794745,24.680029779775772
Soybean,0.2,Q20,0.30000000000000004,0.05455414142065224,-2.2675208391219392,36.34652249709946
Soybean,0.2,Q20,0.4,0.07203659557279637,-3.4243232912995722,47.56400043271361
Soybean,0.2,Q20,0.5,0.08916791989757054,-4.781606829712352,58.33246358661831
Soybean,0.2,Q20,0.6000000000000001,0.10594811439497477,-6.33937145436029,68.65191195881351
Soybean,0.2,Q20,0.7000000000000001,0.12237717906500899,-8.097617165243406,78.52234554929922
Soybean,0.2,Q20,0.8,0.13845511390767326,-10.056343962361652,87.94376435807547
Soybean,0.2,Q20,0.9,0.15418191892296754,-12.21555184571507,96.91616838514217
Soybean,0.2,Q20,1,0.16955759411089188,-14.57524081530363,105.43955763049944
Soybean,0.2,Q20,1.1,0.18458213947144625,-17.135410871127377,113.51393209414718
Soybean,0.2,Q20,1.2000000000000002,0.19925555500463066,-19.896062013186253,121.13929177608549
Soybean,0.2,Q20,1.3,0.21357784071044505,-22.8571942414803,128.31563667631426
Soybean,0.2,Q20,1.4000000000000001,0.2275489965888895,-26.018807556009506,135.04296679483355
Soybean,0.2,Q20,1.5,0.24116902263996398,-29.38090195677384,141.3212821316434
Soybean,0.2,Q20,1.6,0.2544379188636685,-32.94347744377339,147.1505826867437
Soybean,0.2,Q20,1.7000000000000002,0.26735568526000303,-36.70653401700807,152.53086846013454
Soybean,0.2,Q20,1.8,0.27992232182896765,-40.670071676477846,157.46213945181594
Soybean,0.2,Q20,1.9000000000000001,0.2921378285705623,-44.83409042218284,161.94439566178787
Soybean,0.2,Q20,2,0.3040022054847869,-49.19859025412299,165.9776370900502
Soybean,0.2,Q20,2.1,0.3155154525716416,-53.76357117229827,169.56186373660313
Soybean,0.2,Q20,2.2,0.32667756983112634,-58.52903317670874,172.69707560144656
Soybean,0.2,Q20,2.3000000000000003,0.3374885572632411,-63.4949762673543,175.38327268458056
Soybean,0.2,Q20,2.4000000000000004,0.34794841486798583,-68.66140044423514,177.62045498600486
Soybean,0.2,Q20,2.5,0.3580571426453606,-74.02830570735105,179.40862250571985
Soybean,0.2,Q20,2.6,0.36781474059536545,-79.59569205670218,180.74777524372524
Soybean,0.2,Q20,2.7,0.3772212087180003,-85.3635594922884,181.63791320002122
Soybean,0.2,Q20,2.8000000000000003,0.38627654701326525,-91.33190801410979,182.07903637460777
Soybean,0.2,Q20,2.9000000000000004,0.3949807554811602,-97.50073762216633,182.07114476748478
Soybean,0.2,Q20,3,0.4033338341216851,-103.87004831645802,181.61423837865232
