lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,lime_price,price_ratio_obs,r_p,profit,profit_lo,profit_hi
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,10,127.87094977168947,81.75721004566209,173.9846894977169
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,0.5,-150.00888641552513,-153.21679874429225,-146.80654337899543
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,0.75,-141.47394606164383,-146.28581455479454,-136.6704315068493
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,1,-132.93900570776256,-139.3548303652968,-126.53431963470321
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,1.25,-124.40406535388128,-132.42384617579907,-116.39820776255706
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,1.5,-115.86912499999998,-125.49286198630136,-106.26209589041095
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,1.75,-107.33418464611871,-118.56187779680364,-96.12598401826484
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,2,-98.79924429223745,-111.63089360730594,-85.98987214611873
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,2.25,-90.26430393835616,-104.69990941780821,-75.85376027397261
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,2.5,-81.72936358447488,-97.76892522831051,-65.7176484018265
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,2.75,-73.1944232305936,-90.83794103881277,-55.58153652968038
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,3,-64.65948287671233,-83.90695684931507,-45.44542465753424
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,3.25,-56.12454252283106,-76.97597265981734,-35.30931278538812
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,3.5,-47.58960216894976,-70.04498847031962,-25.173200913242006
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,3.75,-39.05466181506849,-63.11400428082191,-15.037089041095891
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,4,-30.519721461187217,-56.183020091324195,-4.900977168949776
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,4.25,-21.984781107305945,-49.25203590182648,5.235134703196339
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,4.5,-13.449840753424672,-42.32105171232877,15.371246575342454
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,4.75,-4.9149003995433755,-35.39006752283105,25.50735844748857
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,5,3.6200399543378965,-28.45908333333334,35.64347031963469
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,5.25,12.15498030821917,-21.5280991438356,45.779582191780825
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,5.5,20.689920662100466,-14.597114954337886,55.915694063926914
