crop,tau,tau_lab,lime_tha,yield_resp
Maize,0.2,Q20,6.9,0.9127659631682528
Maize,0.2,Q20,7,0.8954405621999706
Maize,0.5,Q50,0,0
Maize,0.5,Q50,0.1,0.07997761528404575
Maize,0.5,Q50,0.2,0.15831966131755398
Maize,0.5,Q50,0.30000000000000004,0.23502613810052475
Maize,0.5,Q50,0.4,0.310097045632958
Maize,0.5,Q50,0.5,0.3835323839148537
Maize,0.5,Q50,0.6000000000000001,0.45533215294621204
Maize,0.5,Q50,0.7000000000000001,0.5254963527270328
Maize,0.5,Q50,0.8,0.594024983257316
Maize,0.5,Q50,0.9,0.6609180445370617
Maize,0.5,Q50,1,0.72617553656627
Maize,0.5,Q50,1.1,0.7897974593449408
Maize,0.5,Q50,1.2000000000000002,0.8517838128730743
Maize,0.5,Q50,1.3,0.9121345971506699
Maize,0.5,Q50,1.4000000000000001,0.9708498121777283
Maize,0.5,Q50,1.5,1.027929457954249
Maize,0.5,Q50,1.6,1.0833735344802324
Maize,0.5,Q50,1.7000000000000002,1.1371820417556782
Maize,0.5,Q50,1.8,1.1893549797805862
Maize,0.5,Q50,1.9000000000000001,1.2398923485549573
Maize,0.5,Q50,2,1.2887941480787906
Maize,0.5,Q50,2.1,1.3360603783520864
Maize,0.5,Q50,2.2,1.3816910393748447
Maize,0.5,Q50,2.3000000000000003,1.4256861311470657
Maize,0.5,Q50,2.4000000000000004,1.468045653668749
Maize,0.5,Q50,2.5,1.5087696069398948
Maize,0.5,Q50,2.6,1.5478579909605028
Maize,0.5,Q50,2.7,1.585310805730574
Maize,0.5,Q50,2.8000000000000003,1.6211280512501074
Maize,0.5,Q50,2.9000000000000004,1.655309727519103
Maize,0.5,Q50,3,1.6878558345375614
Maize,0.5,Q50,3.1,1.7187663723054825
Maize,0.5,Q50,3.2,1.7480413408228654
Maize,0.5,Q50,3.3000000000000003,1.7756807400897117
Maize,0.5,Q50,3.4000000000000004,1.8016845701060198
Maize,0.5,Q50,3.5,1.8260528308717907
Maize,0.5,Q50,3.6,1.8487855223870242
Maize,0.5,Q50,3.7,1.8698826446517198
Maize,0.5,Q50,3.8000000000000003,1.8893441976658785
Maize,0.5,Q50,3.9000000000000004,1.9071701814294997
Maize,0.5,Q50,4,1.923360595942583
Maize,0.5,Q50,4.1000000000000005,1.9379154412051287
Maize,0.5,Q50,4.2,1.9508347172171374
Maize,0.5,Q50,4.3,1.9621184239786083
Maize,0.5,Q50,4.4,1.9717665614895414
Maize,0.5,Q50,4.5,1.9797791297499374
Maize,0.5,Q50,4.6000000000000005,1.986156128759796
Maize,0.5,Q50,4.7,1.9908975585191167
Maize,0.5,Q50,4.800000000000001,1.9940034190279001
Maize,0.5,Q50,4.9,1.995473710286146
Maize,0.5,Q50,5,1.995308432293855
Maize,0.5,Q50,5.1000000000000005,1.9935075850510258
Maize,0.5,Q50,5.2,1.9900711685576589
Maize,0.5,Q50,5.300000000000001,1.9849991828137548
Maize,0.5,Q50,5.4,1.9782916278193137
Maize,0.5,Q50,5.5,1.9699485035743343
